PUBLIC,public
PRIVATE,private
IMPORT,import
TRUE,true
FALSE,false
THIS,this
NEW,new
INT_TYPE,int
BOOLEAN_TYPE,boolean
STRING_TYPE,String
VOID_TYPE,void
RETURN,return
IF,if
ELSE,else
WHILE,while
FOR,for
DO,do
SWITCH,switch
CASE,case
CLASS,class
EXTENDS,extends
STATIC,static
LEFT_SQUARE_BRACKET,[
RIGHT_SQUARE_BRACKET,]
LEFT_PAREN,(
RIGHT_PAREN,)
LEFT_CURLY,{
RIGHT_CURLY,}
SEMICOLON,;
COMMA,COMMA
DOT,.
QUESTION_MARK,?
COLON,:
EQ,=
EQEQ,==
BANG,!
PLUSPLUS,++
MINUSMINUS,--
AND,&
ANDAND,&&
OR,|
OROR,||
LESS_THAN,<
GREATER_THAN,>
PLUS,+
MINUS,-
TIMES,*
DIVIDE,/
INT,
ID,
COMMENT,
